date,listeners,streams,followers
2023-05-18,7803,12268,813
2023-05-19,7964,12886,814
2023-05-20,7863,12228,814
2023-05-21,6988,10776,815
2023-05-22,7514,11665,816
2023-05-23,7951,12414,816
2023-05-24,8096,12687,816
2023-05-25,8195,12994,816
2023-05-26,8924,14128,817
2023-05-27,9423,14596,817
2023-05-28,7958,11976,817
2023-05-29,8132,12578,817
2023-05-30,8120,12854,817
2023-05-31,8487,13502,817
2023-06-01,8940,13973,817
2023-06-02,9086,13834,818
2023-06-03,9288,14181,818
2023-06-04,7978,12092,818
2023-06-05,7841,12192,817
2023-06-06,8408,13043,818
2023-06-07,8911,13662,820
2023-06-08,9388,14367,820
2023-06-09,9549,14609,821
2023-06-10,9107,14119,777
2023-06-11,8587,12802,778
2023-06-12,8794,13388,778
2023-06-13,8818,13560,779
2023-06-14,9119,13910,779
2023-06-15,9312,14241,779
2023-06-16,9830,15012,780
2023-06-17,10254,15202,781
2023-06-18,8993,12943,781
2023-06-19,9142,13254,781
2023-06-20,9346,13868,781
2023-06-21,9499,14328,781
2023-06-22,9385,14288,783
2023-06-23,9937,14777,785
2023-06-24,10599,15504,785
2023-06-25,9365,13386,785
2023-06-26,9227,13497,786
2023-06-27,9296,14247,787
2023-06-28,9491,14223,787
2023-06-29,9833,14711,789
2023-06-30,9308,14396,790
2023-07-01,9664,14165,791
2023-07-02,8978,12664,791
2023-07-03,8810,12966,791
2023-07-04,9496,14035,793
2023-07-05,9618,14056,792
2023-07-06,9513,14096,792
2023-07-07,10235,15051,793
2023-07-08,10456,14939,793
2023-07-09,9320,13040,793
2023-07-10,8930,12991,793
2023-07-11,9230,13608,794
2023-07-12,9285,13520,795
2023-07-13,9402,13709,796
2023-07-14,9997,14455,796
2023-07-15,10549,14952,795
2023-07-16,9289,12679,795
2023-07-17,9205,13029,795
2023-07-18,9273,13354,796
2023-07-19,9544,13595,797
2023-07-20,9535,13832,797
2023-07-21,9607,14086,797
2023-07-22,10061,14074,797
2023-07-23,8849,12261,798
2023-07-24,8587,12202,799
2023-07-25,8357,12285,800
2023-07-26,8879,12846,801
2023-07-27,8306,12434,801
2023-07-28,6647,10469,801
2023-07-29,6556,10338,802
2023-07-30,5877,8968,802
2023-07-31,6111,9480,802
2023-08-01,6064,9401,804
